,Comapny_Name,Role,City/Zip,Datetime_Posted
287,Brook Street,Hygiene Operative / Cleaner - WEEKENDS ONLY FRI - SUN,London,29 days ago
288,Morgan Hunt,Deep Cleaner,London,29 days ago
289,swift office cleaning,newEarly Morning Cleaner,London RM7,1 day ago
290,Aspen Healthcare,newHousekeeper – Weekend,London,4 days ago
291,"Marriott International, Inc",Night Housekeeping Porter (Kensington),London SW5 0TH,8 days ago
294,Jumeirah,Housekeeping Manager - The Carlton Tower Jumeirah,London,22 days ago
295,Unilever,"newFinance Manager – Fabric Cleaning, Home Care",London,6 days ago
296,"Marriott International, Inc",newAssistant Style/Housekeeping Manager,London W1D 6QF,6 days ago
297,Bouygues Energies & Services Solutions,Kitchen Porter,Southwark,29 days ago
298,Melia Hotels International,Housekeeping Public Area Supervisor,London,15 days ago
299,Blue Arrow,Room attendant,London EC2M,23 days ago
300,Premier Inn,Head Housekeeper,London WC2H,9 days ago
301,Search Consultancy,Night Cleaners Needed - Standard DBS Required,London,16 days ago
302,Eden Private Staff,newLive in Nanny Housekeeper,London DA8+1 location,2 days ago
303,Sugarman Education,Janitor,London,9 days ago
305,L.A.B. Facilities Management Ltd,Window Cleaner Professional,London E20,22 days ago
307,INNOV8 Cleaning Solutions Limited,Premise Cleaner,Great Portland Street Station,11 days ago
308,Rocco Forte Hotels,Full time/Part time Room Attendant - £9.21 per hour,London,19 days ago
309,"Marriott International, Inc",Housekeeping Supervisor (Kensington),London SW5 0TH,8 days ago
313,PPHE Hotel Group,Assistant Head Housekeeper,London,23 days ago
316,"Marriott International, Inc",Housekeeping Attendant at London Marriott Hotel Regents Park,London NW3 3ST,15 days ago
318,Enviro-Solve Cleaning Services,"Cleaner, Driver",London SW9 8SE,17 days ago
320,Sanctuary Care,newHousekeeping Assistant,London,6 days ago
321,"Marriott International, Inc",Kitchen Porter,London NW1 2AR,28 days ago
323,"Marriott International, Inc",Housekeeping Porter at London Marriott Hotel Regents Park,London NW3 3ST,15 days ago
324,Resourcing Group,Part Time Cleaning Operative,London,17 days ago
325,Tiger Recruitment Ltd,"16 week live-in housekeeping placement, Berkshire",London,14 days ago
326,The Property Recruitment Company,PART TIME HOUSEKEEPER - CENTRAL LONDON (BTR),London,12 days ago
328,Angel Human Resources,Cleaners,London,20 days ago
331,"Marriott International, Inc",Casual Housekeeping Room Attendant (Marble Arch),London W1H,14 days ago
332,Angel Human Resources,Cleaners,London,20 days ago
333,"Marriott International, Inc",Housekeeping Porter at London Marriott Hotel Regents Park,London NW3 3ST,15 days ago
334,A Total Kleaning London Ltd,newCleaning Operative,London,1 day ago
336,Malmaison & Frasers,"newNight Porter, Hotel Du Vin",London,4 days ago
338,Malmaison & Frasers,"newHousekeeping Supervisor, Malmaison",London,5 days ago
340,Resourcing Group,Part Time Cleaning Operative,London,17 days ago
343,Search Consultancy,Housekeeper,London,22 days ago
